path,loc,batch,p1_status,p1_date,p2_lenses,dossier,notes
Programma_CS2_RENAN/migrations/env.py,15,B06,,,,D-B06,
alembic/env.py,138,B06,,,,D-B06,
alembic/versions/19fcff36ea0a_add_heartbeat_telemetry_to_coachstate.py,41,B06,,,,D-B06,
alembic/versions/3c6ecb5fe20e_add_fusion_plan_columns_to_.py,116,B06,,,,D-B06,
alembic/versions/57a72f0df21e_add_nullable_heartbeat_to_coachstate.py,33,B06,,,,D-B06,
alembic/versions/609fed4b4dce_add_last_tick_processed_to_ingestiontask.py,36,B06,,,,D-B06,
alembic/versions/7a30a0ea024e_sync_missing_tables.py,49,B06,,,,D-B06,
alembic/versions/89850b6e0a49_add_pro_stats.py,91,B06,,,,D-B06,
alembic/versions/8a93567a2798_link_pro_physics_to_stats.py,43,B06,,,,D-B06,
alembic/versions/8c443d3d9523_triple_daemon_support.py,56,B06,,,,D-B06,
alembic/versions/a1b2c3d4e5f6_add_data_quality_to_playermatchstats.py,54,B06,,,,D-B06,
alembic/versions/b2c3d4e5f6a7_add_enrichment_cols_to_playertickstate.py,78,B06,,,,D-B06,
alembic/versions/c3d4e5f6a7b8_add_strategy_label_to_coachingexperience.py,78,B06,,,,D-B06,
alembic/versions/c8a2308770e5_add_retraining_trigger_support.py,36,B06,,,,D-B06,
alembic/versions/d4e5f6a7b8c9_add_steamid_to_playertickstate_and_playermatchstats.py,64,B06,,,,D-B06,
alembic/versions/da7a6be5c0c7_add_service_notification_table.py,51,B06,,,,D-B06,
alembic/versions/e3013f662fd4_add_sync_and_interval_to_coachstate.py,36,B06,,,,D-B06,
alembic/versions/e5f6a7b8c9d0_add_pov_stream_index_to_playertickstate.py,68,B06,,,,D-B06,
alembic/versions/f6a7b8c9d0e1_drop_connect_state_from_ext_playerplaystyle.py,65,B06,,,,D-B06,
alembic/versions/f769fbe67229_add_missing_profile_fields.py,90,B06,,,,D-B06,
backend/storage/migrations/env.py,81,B06,,,,D-B06,
backend/storage/migrations/versions/5d5764ef9f26_add_rating_components.py,138,B06,,,,D-B06,
backend/storage/migrations/versions/b609a11e13cc_baseline_schema.py,163,B06,,,,D-B06,
Programma_CS2_RENAN/backend/data_sources/demo_format_adapter.py,282,B07,,,,D-B07,
Programma_CS2_RENAN/backend/data_sources/demo_parser.py,653,B07,,,,D-B07,
Programma_CS2_RENAN/backend/data_sources/event_registry.py,358,B07,,,,D-B07,
Programma_CS2_RENAN/backend/data_sources/round_context.py,236,B07,,,,D-B07,
Programma_CS2_RENAN/backend/data_sources/trade_kill_detector.py,373,B07,,,,D-B07,
Programma_CS2_RENAN/backend/data_sources/__init__.py,0,B08,,,,D-B08,
Programma_CS2_RENAN/backend/data_sources/faceit_api.py,38,B08,,,,D-B08,
Programma_CS2_RENAN/backend/data_sources/faceit_integration.py,305,B08,,,,D-B08,
Programma_CS2_RENAN/backend/data_sources/hltv/__init__.py,0,B08,,,,D-B08,
Programma_CS2_RENAN/backend/data_sources/hltv/docker_manager.py,138,B08,,,,D-B08,
Programma_CS2_RENAN/backend/data_sources/hltv/flaresolverr_client.py,162,B08,,,,D-B08,
Programma_CS2_RENAN/backend/data_sources/hltv/stat_fetcher.py,969,B08,,,,D-B08,
Programma_CS2_RENAN/backend/data_sources/hltv_scraper.py,60,B08,,,,D-B08,
Programma_CS2_RENAN/backend/data_sources/steam_api.py,136,B08,,,,D-B08,
Programma_CS2_RENAN/backend/data_sources/steam_demo_finder.py,257,B08,,,,D-B08,
Programma_CS2_RENAN/backend/ingestion/__init__.py,0,B09,,,,D-B09,
Programma_CS2_RENAN/backend/ingestion/csv_migrator.py,213,B09,,,,D-B09,
Programma_CS2_RENAN/backend/ingestion/resource_manager.py,201,B09,,,,D-B09,
Programma_CS2_RENAN/backend/ingestion/watcher.py,238,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/__init__.py,0,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/demo_loader.py,753,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/integrity.py,47,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/pipelines/__init__.py,0,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/pipelines/json_tournament_ingestor.py,167,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/pipelines/user_ingest.py,79,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/registry/__init__.py,0,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/registry/lifecycle.py,25,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/registry/registry.py,122,B09,,,,D-B09,
Programma_CS2_RENAN/ingestion/steam_locator.py,135,B09,,,,D-B09,
Programma_CS2_RENAN/hltv_sync_service.py,269,B10,,,,D-B10,
Programma_CS2_RENAN/run_ingestion.py,1649,B10,,,,D-B10,
Programma_CS2_RENAN/run_worker.py,167,B10,,,,D-B10,
Programma_CS2_RENAN/backend/processing/connect_map_context.py,112,B11,,,,D-B11,
Programma_CS2_RENAN/backend/processing/data_pipeline.py,407,B11,,,,D-B11,
Programma_CS2_RENAN/backend/processing/round_reconstructor.py,614,B11,,,,D-B11,
Programma_CS2_RENAN/backend/processing/state_reconstructor.py,134,B11,,,,D-B11,
Programma_CS2_RENAN/backend/processing/tick_enrichment.py,354,B11,,,,D-B11,
Programma_CS2_RENAN/backend/processing/external_analytics.py,204,B12,,,,D-B12,
Programma_CS2_RENAN/backend/processing/rating.py,230,B12,,,,D-B12,
Programma_CS2_RENAN/backend/processing/round_stats_builder.py,1025,B12,,,,D-B12,
Programma_CS2_RENAN/backend/processing/skill_assessment.py,162,B12,,,,D-B12,
Programma_CS2_RENAN/backend/processing/heatmap_engine.py,300,B13,,,,D-B13,
Programma_CS2_RENAN/backend/processing/player_knowledge.py,672,B13,,,,D-B13,
Programma_CS2_RENAN/backend/processing/tensor_factory.py,769,B13,,,,D-B13,
Programma_CS2_RENAN/backend/processing/feature_engineering/__init__.py,67,B14,,,,D-B14,
Programma_CS2_RENAN/backend/processing/feature_engineering/base_features.py,197,B14,,,,D-B14,
Programma_CS2_RENAN/backend/processing/feature_engineering/kast.py,163,B14,,,,D-B14,
Programma_CS2_RENAN/backend/processing/feature_engineering/rating.py,176,B14,,,,D-B14,
Programma_CS2_RENAN/backend/processing/feature_engineering/role_features.py,269,B14,,,,D-B14,
Programma_CS2_RENAN/backend/processing/feature_engineering/vectorizer.py,778,B14,,,,D-B14,
Programma_CS2_RENAN/backend/processing/__init__.py,0,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/baselines/__init__.py,0,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/baselines/meta_drift.py,168,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/baselines/nickname_resolver.py,134,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/baselines/pro_baseline.py,665,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/baselines/pro_player_linker.py,107,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/baselines/role_thresholds.py,319,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/validation/__init__.py,0,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/validation/dem_validator.py,217,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/validation/drift.py,261,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/validation/sanity.py,127,B15,,,,D-B15,
Programma_CS2_RENAN/backend/processing/validation/schema.py,92,B15,,,,D-B15,
Programma_CS2_RENAN/backend/analysis/blind_spots.py,235,B16,,,,D-B16,
Programma_CS2_RENAN/backend/analysis/engagement_range.py,256,B16,,,,D-B16,
Programma_CS2_RENAN/backend/analysis/entropy_analysis.py,197,B16,,,,D-B16,
Programma_CS2_RENAN/backend/analysis/momentum.py,243,B16,,,,D-B16,
Programma_CS2_RENAN/backend/analysis/win_probability.py,674,B16,,,,D-B16,
Programma_CS2_RENAN/backend/analysis/__init__.py,101,B17,,,,D-B17,
Programma_CS2_RENAN/backend/analysis/belief_model.py,546,B17,,,,D-B17,
Programma_CS2_RENAN/backend/analysis/deception_index.py,253,B17,,,,D-B17,
Programma_CS2_RENAN/backend/analysis/game_tree.py,528,B17,,,,D-B17,
Programma_CS2_RENAN/backend/analysis/movement_quality.py,574,B18,,,,D-B18,
Programma_CS2_RENAN/backend/analysis/role_classifier.py,562,B18,,,,D-B18,
Programma_CS2_RENAN/backend/analysis/utility_economy.py,416,B18,,,,D-B18,
Programma_CS2_RENAN/backend/nn/__init__.py,0,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/config.py,218,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/data_quality.py,156,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/dataset.py,63,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/early_stopping.py,174,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/ema.py,132,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/factory.py,142,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/model.py,223,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/persistence.py,309,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/training_config.py,69,B19,,,,D-B19,
Programma_CS2_RENAN/backend/nn/jepa_model.py,1148,B20,,,,D-B20,
Programma_CS2_RENAN/backend/nn/role_head.py,327,B20,,,,D-B20,
Programma_CS2_RENAN/backend/nn/jepa_train.py,818,B21,,,,D-B21,
Programma_CS2_RENAN/backend/nn/jepa_trainer.py,617,B21,,,,D-B21,
Programma_CS2_RENAN/backend/nn/training_orchestrator.py,1611,B22,,,,D-B22,
Programma_CS2_RENAN/backend/nn/embedding_projector.py,239,B23,,,,D-B23,
Programma_CS2_RENAN/backend/nn/evaluate.py,70,B23,,,,D-B23,
Programma_CS2_RENAN/backend/nn/maturity_observatory.py,442,B23,,,,D-B23,
Programma_CS2_RENAN/backend/nn/tensorboard_callback.py,248,B23,,,,D-B23,
Programma_CS2_RENAN/backend/nn/train.py,302,B23,,,,D-B23,
Programma_CS2_RENAN/backend/nn/training_callbacks.py,113,B23,,,,D-B23,
Programma_CS2_RENAN/backend/nn/training_controller.py,164,B23,,,,D-B23,
Programma_CS2_RENAN/backend/nn/training_monitor.py,165,B23,,,,D-B23,
Programma_CS2_RENAN/backend/nn/win_probability_trainer.py,143,B23,,,,D-B23,
Programma_CS2_RENAN/backend/nn/advanced/__init__.py,4,B24,,,,D-B24,
Programma_CS2_RENAN/backend/nn/coach_manager.py,1362,B24,,,,D-B24,
Programma_CS2_RENAN/backend/nn/inference/__init__.py,0,B24,,,,D-B24,
Programma_CS2_RENAN/backend/nn/inference/ghost_engine.py,239,B24,,,,D-B24,
Programma_CS2_RENAN/backend/nn/layers/__init__.py,0,B24,,,,D-B24,
Programma_CS2_RENAN/backend/nn/layers/superposition.py,121,B24,,,,D-B24,
Programma_CS2_RENAN/backend/nn/experimental/__init__.py,9,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/__init__.py,3,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/chronovisor_scanner.py,440,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/communication.py,141,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/conftest.py,3,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/memory.py,304,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/model.py,204,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/pedagogy.py,98,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/perception.py,98,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/strategy.py,115,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/test_arch.py,58,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/experimental/rap_coach/trainer.py,163,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/__init__.py,3,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/chronovisor_scanner.py,16,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/communication.py,6,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/memory.py,4,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/model.py,5,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/pedagogy.py,7,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/perception.py,7,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/skill_model.py,9,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/strategy.py,4,B25,,,,D-B25,
Programma_CS2_RENAN/backend/nn/rap_coach/trainer.py,4,B25,,,,D-B25,
Programma_CS2_RENAN/backend/knowledge/experience_bank.py,1401,B26,,,,D-B26,
Programma_CS2_RENAN/backend/knowledge/round_utils.py,34,B26,,,,D-B26,
Programma_CS2_RENAN/tests/test_round_utils.py,309,B26,,,,D-B26,
Programma_CS2_RENAN/backend/knowledge/__init__.py,0,B27,,,,D-B27,
Programma_CS2_RENAN/backend/knowledge/graph.py,242,B27,,,,D-B27,
Programma_CS2_RENAN/backend/knowledge/init_knowledge_base.py,135,B27,,,,D-B27,
Programma_CS2_RENAN/backend/knowledge/pro_demo_miner.py,426,B27,,,,D-B27,
Programma_CS2_RENAN/backend/knowledge/rag_knowledge.py,741,B27,,,,D-B27,
Programma_CS2_RENAN/backend/knowledge/vector_index.py,365,B27,,,,D-B27,
Programma_CS2_RENAN/backend/coaching/__init__.py,25,B28,,,,D-B28,
Programma_CS2_RENAN/backend/coaching/correction_engine.py,64,B28,,,,D-B28,
Programma_CS2_RENAN/backend/coaching/explainability.py,92,B28,,,,D-B28,
Programma_CS2_RENAN/backend/coaching/hybrid_engine.py,787,B28,,,,D-B28,
Programma_CS2_RENAN/backend/coaching/jepa_insight_adapter.py,242,B28,,,,D-B28,
Programma_CS2_RENAN/backend/coaching/longitudinal_engine.py,48,B28,,,,D-B28,
Programma_CS2_RENAN/backend/coaching/nn_refinement.py,34,B28,,,,D-B28,
Programma_CS2_RENAN/backend/coaching/pro_bridge.py,128,B28,,,,D-B28,
Programma_CS2_RENAN/backend/coaching/token_resolver.py,107,B28,,,,D-B28,
Programma_CS2_RENAN/backend/knowledge_base/__init__.py,1,B28,,,,D-B28,
Programma_CS2_RENAN/backend/knowledge_base/help_system.py,81,B28,,,,D-B28,
Programma_CS2_RENAN/backend/onboarding/__init__.py,0,B28,,,,D-B28,
Programma_CS2_RENAN/backend/onboarding/new_user_flow.py,140,B28,,,,D-B28,
Programma_CS2_RENAN/backend/progress/__init__.py,0,B28,,,,D-B28,
Programma_CS2_RENAN/backend/progress/longitudinal.py,9,B28,,,,D-B28,
Programma_CS2_RENAN/backend/progress/trend_analysis.py,19,B28,,,,D-B28,
Programma_CS2_RENAN/backend/services/analysis_service.py,91,B29,,,,D-B29,
Programma_CS2_RENAN/backend/services/coaching_service.py,1068,B29,,,,D-B29,
Programma_CS2_RENAN/backend/services/profile_service.py,165,B29,,,,D-B29,
Programma_CS2_RENAN/backend/services/visualization_service.py,136,B29,,,,D-B29,
Programma_CS2_RENAN/backend/services/coaching_dialogue.py,1974,B30,,,,D-B30,
Programma_CS2_RENAN/backend/services/analysis_orchestrator.py,1097,B31,,,,D-B31,
Programma_CS2_RENAN/backend/services/llm_service.py,462,B31,,,,D-B31,
Programma_CS2_RENAN/backend/services/ollama_writer.py,108,B31,,,,D-B31,
Programma_CS2_RENAN/backend/services/telemetry_client.py,64,B31,,,,D-B31,
Programma_CS2_RENAN/backend/__init__.py,0,B32,,,,D-B32,
Programma_CS2_RENAN/backend/control/__init__.py,0,B32,,,,D-B32,
Programma_CS2_RENAN/backend/control/console.py,739,B32,,,,D-B32,
Programma_CS2_RENAN/backend/control/db_governor.py,169,B32,,,,D-B32,
Programma_CS2_RENAN/backend/control/ingest_manager.py,291,B32,,,,D-B32,
Programma_CS2_RENAN/backend/control/ml_controller.py,193,B32,,,,D-B32,
Programma_CS2_RENAN/backend/server.py,358,B32,,,,D-B32,
Programma_CS2_RENAN/backend/services/__init__.py,0,B32,,,,D-B32,
Programma_CS2_RENAN/backend/services/lesson_generator.py,380,B32,,,,D-B32,
Programma_CS2_RENAN/backend/services/player_lookup.py,557,B32,,,,D-B32,
Programma_CS2_RENAN/backend/reporting/__init__.py,0,B33,,,,D-B33,
Programma_CS2_RENAN/backend/reporting/analytics.py,418,B33,,,,D-B33,
Programma_CS2_RENAN/reporting/__init__.py,0,B33,,,,D-B33,
Programma_CS2_RENAN/reporting/report_generator.py,102,B33,,,,D-B33,
Programma_CS2_RENAN/reporting/visualizer.py,361,B33,,,,D-B33,
Programma_CS2_RENAN/apps/__init__.py,0,B34,,,,D-B34,
Programma_CS2_RENAN/apps/qt_app/__init__.py,1,B34,,,,D-B34,
Programma_CS2_RENAN/apps/qt_app/app.py,390,B34,,,,D-B34,
Programma_CS2_RENAN/apps/qt_app/core/app_state.py,300,B34,,,,D-B34,
Programma_CS2_RENAN/apps/qt_app/core/i18n_bridge.py,117,B34,,,,D-B34,
Programma_CS2_RENAN/apps/qt_app/core/worker.py,73,B34,,,,D-B34,
Programma_CS2_RENAN/apps/qt_app/main_window.py,377,B34,,,,D-B34,
Programma_CS2_RENAN/apps/qt_app/core/__init__.py,1,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/animation.py,322,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/design_tokens.py,316,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/easing.py,51,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/icons.py,171,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/match_utils.py,72,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/qss_generator.py,41,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/qt_playback_engine.py,39,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/sound.py,84,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/svg_icon_provider.py,243,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/theme_engine.py,283,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/typography.py,105,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/web_bridge.py,236,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/core/widgets_helpers.py,56,B35,,,,D-B35,
Programma_CS2_RENAN/apps/qt_app/viewmodels/__init__.py,1,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/coach_vm.py,84,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/coaching_chat_vm.py,205,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/focus_insight_vm.py,120,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/match_detail_vm.py,183,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/match_history_vm.py,118,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/performance_vm.py,187,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/pro_comparison_vm.py,216,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/pro_player_detail_vm.py,114,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/tactical_vm.py,250,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/viewmodels/user_profile_vm.py,108,B36,,,,D-B36,
Programma_CS2_RENAN/apps/qt_app/widgets/components/card.py,179,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/empty_state.py,256,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/filter_chip.py,114,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/focus_insight.py,132,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/last_match_hero.py,166,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/map_tile.py,129,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/match_mini_card.py,119,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/match_row_card.py,228,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/nav_sidebar.py,199,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/stat_badge.py,168,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/stepper.py,284,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/components/toggle_switch.py,154,B37,,,,D-B37,
Programma_CS2_RENAN/apps/qt_app/widgets/__init__.py,1,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/charts/__init__.py,53,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/charts/economy_chart.py,211,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/charts/mini_sparkline.py,103,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/charts/momentum_chart.py,180,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/charts/radar_chart.py,166,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/charts/rating_sparkline.py,133,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/charts/utility_bar_chart.py,189,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/__init__.py,35,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/db_record_card.py,95,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/delta_chip.py,61,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/drivers_list.py,69,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/hero_stats_strip.py,98,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/icon_widget.py,37,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/metric_bar_row.py,97,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/mini_link_card.py,58,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/mono_footer.py,19,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/numbered_step.py,61,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/pro_badge.py,56,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/progress_ring.py,95,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/section_header.py,75,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/status_chip.py,84,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/components/tip_box.py,43,B38,,,,D-B38,
Programma_CS2_RENAN/apps/qt_app/widgets/coaching/__init__.py,5,B39,,,,D-B39,
Programma_CS2_RENAN/apps/qt_app/widgets/coaching/chat_panel.py,271,B39,,,,D-B39,
Programma_CS2_RENAN/apps/qt_app/widgets/skeleton.py,110,B39,,,,D-B39,
Programma_CS2_RENAN/apps/qt_app/widgets/tactical/__init__.py,1,B39,,,,D-B39,
Programma_CS2_RENAN/apps/qt_app/widgets/tactical/_paint_utils.py,12,B39,,,,D-B39,
Programma_CS2_RENAN/apps/qt_app/widgets/tactical/map_widget.py,907,B39,,,,D-B39,
Programma_CS2_RENAN/apps/qt_app/widgets/tactical/player_sidebar.py,424,B39,,,,D-B39,
Programma_CS2_RENAN/apps/qt_app/widgets/tactical/timeline_widget.py,294,B39,,,,D-B39,
Programma_CS2_RENAN/apps/qt_app/widgets/toast.py,189,B39,,,,D-B39,
Programma_CS2_RENAN/apps/qt_app/screens/home_screen.py,989,B40,,,,D-B40,
Programma_CS2_RENAN/apps/qt_app/screens/match_history_screen.py,464,B40,,,,D-B40,
